Date,Ticker,Snippit,W/L?,%Change
2017-11-25,CLSN,"Celsion Corporation to Post Q4 2017 Earnings of ($0.29) Per Share, Oppenheimer Holdings ... The Lincolnian Online Celsion",,
2017-11-25,CLSN,Celsion Corporation (NASDAQ:CLSN) Downgraded to Strong Sell at ValuEngine StockNewsTimes Celsion Corporation logo ValuEngine,,
2017-11-25,NKTR,Nektar Therapeutics (NKTR) Reports Phase III Study with Amikacin Inhale Does Not Meet Primary ... StreetInsider.com Bayer today,,
2017-11-25,VTVT,"vTv Therapeutics (VTVT) Getting Positive Press Coverage, Report Shows Dispatch Tribunal vTv Therapeutics Inc is a clinical-stage",,
2017-11-24,CLSN,"Celsion Corporation (CLSN) Research Coverage Started at Oppenheimer Holdings, Inc. TrueBlueTribune Celsion Corporation logo",,
2017-11-24,CLSN,Brokers Offer Predictions for Celsion Corporations Q4 2017 Earnings (CLSN) The Ledger Gazette Celsion Corporation (NASDAQ:CLSN),,
2017-11-24,NKTR,"Nektar (NKTR) Stock Up More than 300% This Year: Heres Why Nasdaq Notably, a randomized phase III confirmatory study (ATTAIN)",,
2017-11-24,NKTR,Bayer and Nektars drug-device product fails to improve outcomes in pneumonia The Pharma Letter Shares in San Franciscan biotech,,
2017-11-23,CGIX,Reviewing Cancer Genetics (NASDAQ:CGIX) and Surgical Care Affiliates (SCAI) Dispatch Tribunal Its Select One Clinical Trials program,,
2017-11-23,CLSN,Celsion Corporation (NASDAQ:CLSN) Issues Earnings Results The Ledger Gazette Celsion Corporation logo Celsion Corporation (NASDAQ:,,
2017-11-23,CLSN,"Celsion Corporation (CLSN) Now Covered by Analysts at Oppenheimer Holdings, Inc. The Ledger Gazette Celsion Corporation logo",,
2017-11-23,VTVT,vTv Therapeutics (VTVT) Reaches $5.01 After 5.00% Down Move; FMC (FMC) Shorts Down By ... FlintDaily.com ... small molecule,,
2017-11-23,XNCR,"Somewhat Positive Press Coverage Somewhat Unlikely to Affect Xencor (XNCR) Share Price StockNewsTimes In other Xencor news, major",,
2017-11-22,AGR,"Avangrids $600M Notes to Fund Transmission ; Green Project Zacks.com Avangrid, Inc. (AGR - Free Report) announced that it",,
2017-11-22,ARDX,"First 2-drug HIV Regimen Gets FDA Nod, Starpharma Shines, ARDX Drops RDX7675 Markets Insider (RTTNews) - Todays Daily Dose",,
2017-11-22,ARDX,"First 2-drug HIV Regimen Gets FDA Nod, Starpharma Shines, ARDX Drops RDX7675 Nasdaq (RTTNews.com) - Todays Daily Dose brings",,
